location_id,country,state,city,postal_code,author_id
e770a18c-0c91-4196-8b9a-4841c148e779,Guatemala,Texas,New Walter,46605,1945004256
cb9fbc64-43f4-434a-91c5-a7cadf89d0df,Egypt,New Hampshire,Lake Stevenmouth,84928,5478482359
834f53c6-9580-496a-b348-f9040b3b0b6f,Honduras,Alabama,Laurenside,89744,29002209922
31bf5ce5-d31b-435d-be99-60d0e94d1bdc,Uzbekistan,Wisconsin,Michaelton,12866,7391078463
0d5e875c-0828-41cf-8230-819df2a0b8af,Uganda,Louisiana,Taylorstad,86161,1766313888
dd282e1f-cb50-4d86-8aa5-8f222f555e82,Malta,Minnesota,Sarahside,15750,1532951999
028ec8a2-feb0-4357-bc4d-278ac70129b5,Turkey,Tennessee,Jackiechester,49826,2168991896
73c9e6a6-91de-4f4e-b5ea-1302b01539e9,Timor-Leste,Washington,East Robertton,39728,5240639417
c17f8167-b47a-47b7-96d2-be877a70f542,Reunion,Wisconsin,Destinyport,81958,1599604155
322e081f-ff1f-4c96-8ed5-bd5932d59bdd,Solomon Islands,Colorado,Woodardview,8107,11792701494
65f91cde-bb81-44a6-979a-cca4043e8cdf,Denmark,New Hampshire,New Albert,60325,1546663264
c7aafef3-79c7-4882-8d30-e0f6d20ec2ae,Saint Martin,South Carolina,Port Dianafort,58335,6058344798
faa9d836-ced0-4584-951f-ed84f1041f0a,United Arab Emirates,Maryland,Aliciahaven,83391,25213183555
d1fa4e07-8489-40a1-8ef4-c488451cdfaf,Lithuania,Georgia,Jeffreyton,35197,5062383766
2e1572fc-6a64-4d91-ad3d-7982651907ab,Senegal,Maine,Aaronbury,560,8192893155
7ecc19f7-d341-484d-b2a9-a9340ab55aea,Antigua and Barbuda,Texas,South Russellhaven,40389,1363814875
4f48e638-1435-42ea-bc21-5726e7813d97,Malawi,Idaho,Susanhaven,46202,12494371485
bbbd18d5-778b-4111-b57d-81f09d200de8,Italy,Kentucky,Lake William,46460,1662337995
5f525383-888a-4147-8f7b-dbf514356a57,Uganda,Kentucky,Johnsonville,69879,9217002507
6ca79251-108f-430a-8396-c2d3bbc5fcef,Central African Republic,Tennessee,Andersontown,43526,2613139670
fd55fd85-c783-4462-984c-521d1504f2df,Kiribati,Vermont,Davidland,15700,9862445019
45a98f4b-183e-4c5f-829c-f29d14affe76,San Marino,New Hampshire,New Nathanland,39573,7203920173
7aa1d50b-835a-4322-9a6f-36356c5438b7,Palestinian Territory,Nebraska,West Francisco,48946,2070003452
04dd529d-1147-4026-b690-1b645a86e3c3,Brazil,Texas,East Deniseshire,99833,1409494240
26c7e2aa-f9a3-4eac-9843-d7f23c274276,Svalbard & Jan Mayen Islands,Wyoming,Joshuabury,79794,931252777
05137134-f995-45d1-83e4-b2483da2b138,Jersey,Tennessee,Lake Brian,78076,1802510473
c43d54af-ba46-4c03-ae6b-9b0b12e8c7d5,United States Virgin Islands,South Carolina,Williamsfurt,61786,2665837304
